axis,level,criterion_id,requirement_type,evidence_quality_min,reproducibility_min,independence_min,role_in_level,boundary_focus,failure_effect,notes
Stage,A,S2,必須,1,0,0,基盤,学習者は文脈に関連した最小限の意味のある断片／非常に短い応答を生成できるか？,これが見られない場合、このサンプルでは観察可能なステージ未満。,Aは支援への強い依存を許容。
Stage,A,S4,必須,1,0,0,基盤,学習者は話されたプロンプト／質問の基本的な文字通りの理解を示せるか？,これが見られない場合、ステージを自信をもって割り当てられない。,意味構築は強く足場掛けされている可能性がある。
Stage,B,S2,必須,1,1,1,コア,学習者は支援があれば、孤立した断片を超えて、粗い順序やつながった発話を生成できるか？,断片的のみの場合はAに下げる。,Bはつながった談話の萌芽を期待。
Stage,B,S4,必須,1,1,1,コア,学習者は支援があれば、話された内容の大まかな順序や要点を追えるか？,理解がプロンプトごとに留まる場合はAに下げる。,理解には依然として足場が必要な場合がある。
Stage,B,S5,補助,1,0,1,補助,簡単な感情／好みと、それに対する初歩的な理由がある。,これがなくてもS2/S4が明確ならBは可能。,まだ強い意見基準ではない。
Stage,C,S2,必須,2,1,1,コア,出来事や要点を追える程度に組織化された順序的な叙述／説明。,弱い場合はBのまま。,Cは最初の安定した順序段階。
Stage,C,S5,必須,1,1,1,コア,意見／感情が簡単な理由で支えられている。,これがない場合、リスニング証拠が強く補わない限りBに留まる。,理由は精緻でなくてもよい。
Stage,C,S4,補助,1,1,1,補助,話された談話から順序や主旨を理解できる。,これがなくても産出側の証拠でCは成立しうる。,リスニングデータがある場合に使用。
Stage,C,S3,補助,1,0,1,補助,基本的な理由はあるが、一貫した因果推論までは不要。,より強い場合はDを検討。,一つのbecause節だけでDに上げない。
Stage,D,S3,必須,2,2,2,コア,単なる順序ではなく、一貫した因果関係または説明的推論。,これがない場合の上限はC。,Dの主要指標。
Stage,D,S2,必須,2,2,2,コア,談話が説明を支える程度に組織化されており、単なる物語ではない。,弱い場合、因果文が一つあってもCのまま。,組織化された説明の繰り返しが必要。
Stage,D,S5,必須,2,1,1,コア,意見が理由／例で支えられ、単なる感情を超えている。,これがなくてもS4/S6が強ければDは可能だが弱い。,S3と併用。
Stage,D,S4,いずれか必須,2,1,1,補助,話された内容の因果関係を理解できる。,リスニングサンプルが少なくても産出がDを示すことがある。,Dを支えるリスニング証拠。
Stage,D,S6,補助,1,1,1,補助,複数の情報を組み合わせたり項目を比較し始める。,より強い場合Eの兆候。,D導入に必須ではない。
Stage,E,S3,補助,2,2,2,コア,抽象的／一般化された推論や比較が安定して現れる。,これがない場合Dに留まる。,Eは具体説明以上を要求。
Stage,E,S6,必須,2,2,2,コア,複数のアイデア／情報を要約・比較・統合できる。,これがない場合Dに留まる。,Eの主要指標。
Stage,E,S5,必須,2,2,2,コア,意見が証拠／例で一貫して支えられており、単なる理由ではない。,これがない場合Dまたは境界E。,長さではなく一貫性が必要。
Stage,E,S7,必須,1,1,1,補助,例示・枠づけ・明確化などで聞き手／目的への配慮を示す。,これがなくてもEは可能だが弱い。,S7が強いと高いEに近づく。
Stage,E,S4,補助,2,1,1,補助,リスニング後に抽象的な主旨や要約内容を理解できる。,リスニングデータがある場合に有用。,リスニングサンプルがない場合は必須ではない。
Stage,F,S3,補助,3,2,2,コア,評価・批評・限界・複数視点が明確に現れる。,これがない場合の上限はE。,Fは単なるEの強化ではなく批評／多視点を含む。
Stage,F,S6,必須,3,2,2,コア,複数のアイデア／資料を横断した高度な統合と分析的統制。,これがない場合Eに留まる。,単なる要約以上が必要。
Stage,F,S7,必須,2,2,2,コア,表現が聴衆／目的に合わせて形作られ、多くの場合説得的または戦略的。,課題に聴衆要素がない場合を除き、これがない場合E。,Fは説得／発表タスクで現れやすい。
Stage,F,S5,必須,2,2,2,補助,意見が反論や別視点と関わる。,これがなくてもS3/S6/S7が強く批評性を示せばFは可能。,有用だが唯一の条件ではない。
Stage,F,S9,補助,0,0,0,修飾,日本語がボトルネックの場合でも概念段階を過小評価しないよう多言語支援証拠を用いる。,S9のみでFを付与してはならない。,解釈上の修飾指標。
Step,1,J6,修飾,1,0,0,基盤,高度な支援下で日常的なやり取りを扱えるか？,これがない場合、ステップは自信をもって割り当てられない。,ステップ1は身振りやモデル提示に強く依存する場合がある。
Step,1,J7,必須,1,0,0,基盤,支援があれば非常に短くゆっくり明瞭な日本語プロンプトを理解できるか？,これがない場合、このサンプルでは観察可能ステップ未満。,処理負荷は高い可能性。
Step,2,J6,必須,1,1,1,コア,いくつかの定型表現を用いて、身近な日常的やり取りを管理できるか？,これがない場合1のまま。,ステップ2は依然として定型中心。
Step,2,J1,必須,1,0,1,補助,基本的な日常語彙が日常的相互作用を支える。,これがない場合ステップ2は弱い。,文レベル産出は要求しない。
Step,2,J7,補助,1,1,1,補助,ゆっくり明瞭な身近な質問／指示を理解できる。,これがない場合1に留まる。,リスニングは産出より強い場合が多い。
Step,3,J3,補助,2,1,1,コア,産出は単語／句だけでなく主に単文で行われる。,これがない場合2に留まる。,ステップ3の核心基準。
Step,3,J1,必須,1,1,1,コア,単純な文の意味を維持するのに十分な基本語彙。,これがない場合2に留まる。,語彙幅はまだ限定的。
Step,3,J4,必須,1,0,1,補助,文法誤りはあるが単純文の意味は多くの場合回復可能。,誤りが多くても解釈可能ならステップ3は成立しうる。,統制は高くなくてよい。
Step,3,J6,補助,1,1,1,補助,簡単な情報質問を尋ねたり答えたりできる。,参考にはなるが唯一の基準ではない。,相互作用がルーティンを超えて広がる。
Step,4,J3,補助,2,1,1,コア,単純文に加えて基本的な複文／重文がいくつか現れる。,これがない場合3に留まる。,ステップ4導入の主指標。
Step,4,J4,必須,1,1,1,コア,これらの構造を支える基本文法統制がある。,これがない場合3に留まる。,正確性はまだ部分的。
Step,4,J6,必須,1,1,1,補助,ある程度の柔軟性で必要な情報交換ができる。,これがなくても独話データからステップ4は可能。,機能範囲が広がる。
Step,4,J7,補助,1,1,1,補助,ある程度明瞭であれば単一プロンプトを超える身近な日本語を理解できる。,ステップ4を支える。,まだ自然速度理解は不要。
Step,5,J5,補助,2,1,2,コア,高頻度接続表現をある程度自由かつ適切に使う。,これがない場合4に留まる。,4→5の主要境界。
Step,5,J3,必須,2,1,2,コア,基本的な複文が稀ではなく、単なる模倣でもない。,これがない場合4に留まる。,生産的柔軟性が必要。
