axis,criterion_id,criterion_name,criterion_role,criterion_definition,primary_decision_use,metric_id,metrics_name,type,definition,measurement body,role,comment
Stage,S1,内容範囲,コア,内容領域がどれだけ広く、概念的に高度か。個人的経験から学術的・抽象的・社会的テーマまでを含む。,特にD/E/F段階の区別に役立つ。,M-S1-1,トピック種別分布,カウント／割合,話題が個人的領域・学校領域・学術的領域・抽象的領域・社会的領域にどう分布しているか。,システム,S1専用の主要指標。,談話の質ではなく、内容の広がりを見るために使う。
Stage,S1,内容範囲,コア,内容領域がどれだけ広く、概念的に高度か。個人的経験から学術的・抽象的・社会的テーマまでを含む。,特にD/E/F段階の区別に役立つ。,M-S1-2,年齢・学年相応の概念適合,順序尺度,扱われている概念が、その学習者の年齢・学年で想定される領域に合っているか。,AI,単純な頻度ではなく解釈的チェック。,Stepの代理指標として使わない。
Stage,S1,内容範囲,コア,内容領域がどれだけ広く、概念的に高度か。個人的経験から学術的・抽象的・社会的テーマまでを含む。,特にD/E/F段階の区別に役立つ。,M-S1-3,抽象的トピックの存在,二値／カウント,学習者が、目の前の具体的経験を超えた抽象的・一般化された話題を扱っているか。,AI,抽象語彙（Step側）と混同しない。,言語が単純でも話題自体は抽象的でありうる。
Stage,S1,内容範囲,コア,内容領域がどれだけ広く、概念的に高度か。個人的経験から学術的・抽象的・社会的テーマまでを含む。,特にD/E/F段階の区別に役立つ。,M-S1-4,社会的・価値的トピックの存在,二値／カウント,話題がルール、公平性、社会、倫理、公的課題などを含むか。,AI,より高いStageの内容領域シグナル。,年少の学習者には慎重に用いる。
Stage,S2,談話構成,コア,学習者がどれだけ一貫して談話を構成できているか：断片、順序説明、解説、要約、論証など。,A/BからC以上への重要な境界。,M-S2-1,断片応答率,割合,応答のうち、単一の断片のままか、最小限の展開にとどまっている割合。,システム,文の複雑さとは別で、これは談話レベルの構成を見る。,割合が高いほどA/B寄りになる。
Stage,S2,談話構成,コア,学習者がどれだけ一貫して談話を構成できているか：断片、順序説明、解説、要約、論証など。,A/BからC以上への重要な境界。,M-S2-2,順序マーカー使用,カウント／割合,"first, then, after that, finally など、または同等の順序シグナルの使用。",システム,順序立てた語りの主要証拠。,C段階のしきい値を支える。
Stage,S2,談話構成,コア,学習者がどれだけ一貫して談話を構成できているか：断片、順序説明、解説、要約、論証など。,A/BからC以上への重要な境界。,M-S2-3,エピソード完結性,順序尺度,語りや説明に、わかる形の始まり・中間・終わり、または導入・展開・締めがあるか。,AI,文法ではなく談話構造の指標。,B/C以降で重要。
Stage,S2,談話構成,コア,学習者がどれだけ一貫して談話を構成できているか：断片、順序説明、解説、要約、論証など。,A/BからC以上への重要な境界。,M-S2-4,説明ユニット数,カウント,発話サンプル内に含まれる、完結した説明ユニット（主張・理由・例・結果）の数。,システム,節ではなく、完結した談話ユニットを数える。,C/D/Eの境界で有用。
Stage,S2,談話構成,コア,学習者がどれだけ一貫して談話を構成できているか：断片、順序説明、解説、要約、論証など。,A/BからC以上への重要な境界。,M-S2-5,要約構造の存在,二値／順序,学習者が談話を、より短く整理された要約に圧縮できるか。,AI,要約能力はS6も支えうる。,1つの談話内部の構成に注目するときはS2として使う。
Stage,S3,推論の深さ,コア,学習者がどれだけ深く推論できるか：理由説明、因果関係、比較、抽象化、評価、批判など。,C/D/E/F段階の主な区別要因。,M-S3-1,理由表明数,カウント,行動・選択・意見に対して明示的に述べられた理由の数。,システム,意見の所有そのものとは別の、基本的な推論シグナル。,Cを支える。
Stage,S3,推論の深さ,コア,学習者がどれだけ深く推論できるか：理由説明、因果関係、比較、抽象化、評価、批判など。,C/D/E/F段階の主な区別要因。,M-S3-2,因果説明数,カウント,明確な因果関係の説明の数。,システム,D段階の主要シグナル。,実際の因果関係を伴わない定型的な because 句は数えない。
